type_msg,aircraft_icao_id,first_date,first_timestamp,altitude,latitude,longitude
MSG3,AA58A6,2023/09/26,03:30:30.849,34000,38.27534,-89.81867
MSG3,AD0799,2023/09/26,03:30:31.509,37000,38.44102,-89.88068
MSG3,AA58A6,2023/09/26,03:30:31.742,34000,38.27381,-89.81974
MSG3,AA58A6,2023/09/26,03:30:32.237,34000,38.27289,-89.82036
MSG3,AD0799,2023/09/26,03:30:32.379,37000,38.43929,-89.87975
MSG3,AA58A6,2023/09/26,03:30:32.722,34000,38.27206,-89.82095
MSG3,AA58A6,2023/09/26,03:30:33.272,34000,38.27115,-89.82159
MSG3,AD0799,2023/09/26,03:30:33.370,37000,38.43734,-89.87872
MSG3,AA58A6,2023/09/26,03:30:33.870,34000,38.27010,-89.82235
MSG3,AD0799,2023/09/26,03:30:34.410,37000,38.43530,-89.87762
MSG3,AA58A6,2023/09/26,03:30:34.715,34000,38.26868,-89.82328
MSG3,AA58A6,2023/09/26,03:30:35.247,34000,38.26762,-89.82404
MSG3,AD0799,2023/09/26,03:30:35.391,37000,38.43334,-89.87665
MSG3,AD0799,2023/09/26,03:30:36.471,37000,38.43120,-89.87549
MSG3,AA58A6,2023/09/26,03:30:36.705,34000,38.26515,-89.82574
MSG3,AA58A6,2023/09/26,03:30:37.280,34000,38.26412,-89.82649
MSG3,AD0799,2023/09/26,03:30:37.522,37000,38.42912,-89.87443
MSG3,AA58A6,2023/09/26,03:30:37.687,34000,38.26343,-89.82697
MSG3,AD0799,2023/09/26,03:30:38.643,37000,38.42688,-89.87324
MSG3,AA58A6,2023/09/26,03:30:38.668,34000,38.26167,-89.82819
MSG3,AD0799,2023/09/26,03:30:39.573,37000,38.42506,-89.87231
MSG3,AA58A6,2023/09/26,03:30:39.703,34000,38.25989,-89.82941
MSG3,AA58A6,2023/09/26,03:30:40.300,34000,38.25883,-89.83018
MSG3,AD0799,2023/09/26,03:30:40.483,37000,38.42326,-89.87133
MSG3,AA58A6,2023/09/26,03:30:40.713,34000,38.25815,-89.83065
MSG3,AD0799,2023/09/26,03:30:41.653,37000,38.42091,-89.87012
MSG3,AA58A6,2023/09/26,03:30:41.655,34000,38.25640,-89.83192
MSG3,AD0799,2023/09/26,03:30:42.654,37000,38.41896,-89.86908
MSG3,AA58A6,2023/09/26,03:30:42.696,34000,38.25462,-89.83310
MSG3,AD0799,2023/09/26,03:30:43.624,37000,38.41704,-89.86810
MSG3,AA58A6,2023/09/26,03:30:43.653,34000,38.25286,-89.83437
MSG3,AA58A6,2023/09/26,03:30:44.593,34000,38.25114,-89.83556
MSG3,AD0799,2023/09/26,03:30:44.645,37000,38.41502,-89.86703
MSG3,AA58A6,2023/09/26,03:30:45.489,34000,38.24973,-89.83655
MSG3,AD0799,2023/09/26,03:30:45.735,37000,38.41286,-89.86591
MSG3,AD0799,2023/09/26,03:30:46.675,37000,38.41100,-89.86494
MSG3,AD0799,2023/09/26,03:30:47.816,37000,38.40872,-89.86375
MSG3,AD0799,2023/09/26,03:30:48.836,37000,38.40671,-89.86267
MSG3,AD0799,2023/09/26,03:30:49.717,37000,38.40499,-89.86178
MSG3,AD0799,2023/09/26,03:30:50.607,37000,38.40321,-89.86086
MSG3,AD0799,2023/09/26,03:30:51.687,37000,38.40106,-89.85975
MSG3,AD0799,2023/09/26,03:30:52.578,37000,38.39931,-89.85885
MSG3,AD0799,2023/09/26,03:30:53.479,37000,38.39754,-89.85789
MSG3,AA58A6,2023/09/26,03:30:53.772,34000,38.23499,-89.84683
MSG3,AD0799,2023/09/26,03:30:54.548,37000,38.39543,-89.85677
MSG3,AA58A6,2023/09/26,03:30:54.702,34000,38.23357,-89.84783
MSG3,AD0799,2023/09/26,03:30:55.599,37000,38.39331,-89.85569
MSG3,AD0799,2023/09/26,03:30:56.659,37000,38.39121,-89.85461
MSG3,AA58A6,2023/09/26,03:30:57.697,34000,38.22828,-89.85151
MSG3,AD0799,2023/09/26,03:30:58.620,37000,38.38735,-89.85258
MSG3,AA58A6,2023/09/26,03:30:58.734,34000,38.22638,-89.85279
MSG3,AD0799,2023/09/26,03:30:59.651,37000,38.38531,-89.85151
MSG3,AA58A6,2023/09/26,03:30:59.788,34000,38.22441,-89.85420
MSG3,AD0799,2023/09/26,03:31:00.692,37000,38.38326,-89.85046
MSG3,AA58A6,2023/09/26,03:31:00.765,34000,38.22285,-89.85531
MSG3,AD0799,2023/09/26,03:31:01.621,37000,38.38139,-89.84948
MSG3,AA58A6,2023/09/26,03:31:01.648,34000,38.22125,-89.85640
MSG3,AA58A6,2023/09/26,03:31:02.712,34000,38.21947,-89.85765
MSG3,AD0799,2023/09/26,03:31:02.792,37000,38.37909,-89.84830
MSG3,AA58A6,2023/09/26,03:31:03.688,34000,38.21771,-89.85885
MSG3,AD0799,2023/09/26,03:31:03.753,37000,38.37721,-89.84730
MSG3,AD0799,2023/09/26,03:31:04.583,37000,38.37557,-89.84643
MSG3,AA58A6,2023/09/26,03:31:04.643,34000,38.21599,-89.86010
MSG3,AD0799,2023/09/26,03:31:05.414,37000,38.37392,-89.84555
MSG3,AD0799,2023/09/26,03:31:06.353,37000,38.37204,-89.84461
MSG3,AD0799,2023/09/26,03:31:07.204,37000,38.37036,-89.84374
MSG3,AD0799,2023/09/26,03:31:08.035,37000,38.36874,-89.84286
MSG3,AD0799,2023/09/26,03:31:09.205,37000,38.36640,-89.84165
MSG3,AD0799,2023/09/26,03:31:10.235,37000,38.36440,-89.84058
MSG3,AD0799,2023/09/26,03:31:11.285,37000,38.36230,-89.83950
MSG3,AD0799,2023/09/26,03:31:12.317,37000,38.36028,-89.83842
MSG3,AD0799,2023/09/26,03:31:13.356,37000,38.35822,-89.83737
MSG3,AD0799,2023/09/26,03:31:14.457,37000,38.35602,-89.83626
MSG3,AD0799,2023/09/26,03:31:15.498,37000,38.35396,-89.83515
MSG3,AD0799,2023/09/26,03:31:16.417,37000,38.35217,-89.83421
MSG3,AD0799,2023/09/26,03:31:17.408,37000,38.35020,-89.83323
MSG3,AD0799,2023/09/26,03:31:18.338,37000,38.34837,-89.83222
MSG3,AD0799,2023/09/26,03:31:19.399,37000,38.34627,-89.83117
MSG3,AD0799,2023/09/26,03:31:20.290,37000,38.34452,-89.83025
MSG3,AD0799,2023/09/26,03:31:21.330,37000,38.34242,-89.82917
MSG3,AD0799,2023/09/26,03:31:22.221,37000,38.34068,-89.82825
MSG3,AD0799,2023/09/26,03:31:23.211,37000,38.33875,-89.82726
MSG3,AD0799,2023/09/26,03:31:24.331,37000,38.33651,-89.82607
MSG3,AD0799,2023/09/26,03:31:25.272,37000,38.33465,-89.82511
MSG3,AD0799,2023/09/26,03:31:26.252,37000,38.33274,-89.82410
MSG3,AD0799,2023/09/26,03:31:27.263,37000,38.33070,-89.82305
MSG3,AD0799,2023/09/26,03:31:28.243,37000,38.32878,-89.82206
MSG3,AD0799,2023/09/26,03:31:29.293,37000,38.32674,-89.82099
MSG3,AD0799,2023/09/26,03:31:30.283,37000,38.32475,-89.81995
MSG3,AD0799,2023/09/26,03:31:32.314,37000,38.32073,-89.81789
MSG3,AD0799,2023/09/26,03:31:33.435,37000,38.31854,-89.81676
MSG3,AD0799,2023/09/26,03:31:34.365,37000,38.31670,-89.81580
MSG3,AD0799,2023/09/26,03:31:35.217,37000,38.31501,-89.81490
MSG3,AD0799,2023/09/26,03:31:36.346,37000,38.31281,-89.81376
MSG3,AD0799,2023/09/26,03:31:37.257,37000,38.31100,-89.81281
MSG3,AD0799,2023/09/26,03:31:38.248,37000,38.30905,-89.81177
MSG3,AD0799,2023/09/26,03:31:39.267,37000,38.30704,-89.81078
MSG3,AD0799,2023/09/26,03:31:40.418,37000,38.30476,-89.80959
MSG3,AD0799,2023/09/26,03:31:41.378,37000,38.30286,-89.80858
MSG3,AD0799,2023/09/26,03:31:42.299,37000,38.30104,-89.80762
MSG3,AD0799,2023/09/26,03:31:43.219,37000,38.29922,-89.80666
MSG3,AD0799,2023/09/26,03:31:44.240,37000,38.29722,-89.80565
MSG3,AD0799,2023/09/26,03:31:45.309,37000,38.29509,-89.80453
