type_msg,aircraft_icao_id,first_date,first_timestamp,speed,heading
MSG4,AA58A6,2023/09/26,03:30:31.060,434,209
MSG4,AD0799,2023/09/26,03:30:31.250,464,158
MSG4,AA58A6,2023/09/26,03:30:32.159,434,209
MSG4,AD0799,2023/09/26,03:30:32.240,464,158
MSG4,AA58A6,2023/09/26,03:30:32.724,434,209
MSG4,AA58A6,2023/09/26,03:30:33.310,434,209
MSG4,AD0799,2023/09/26,03:30:33.400,464,158
MSG4,AA58A6,2023/09/26,03:30:33.824,434,209
MSG4,AA58A6,2023/09/26,03:30:34.291,434,209
MSG4,AD0799,2023/09/26,03:30:34.360,463,158
MSG4,AA58A6,2023/09/26,03:30:35.265,434,209
MSG4,AD0799,2023/09/26,03:30:35.401,463,158
MSG4,AA58A6,2023/09/26,03:30:35.818,434,209
MSG4,AA58A6,2023/09/26,03:30:36.270,434,209
MSG4,AD0799,2023/09/26,03:30:36.441,463,158
MSG4,AA58A6,2023/09/26,03:30:36.680,434,209
MSG4,AA58A6,2023/09/26,03:30:37.272,434,209
MSG4,AD0799,2023/09/26,03:30:37.502,463,158
MSG4,AA58A6,2023/09/26,03:30:37.785,434,209
MSG4,AA58A6,2023/09/26,03:30:38.355,434,209
MSG4,AD0799,2023/09/26,03:30:38.542,463,158
MSG4,AA58A6,2023/09/26,03:30:39.294,434,209
MSG4,AA58A6,2023/09/26,03:30:39.875,434,209
MSG4,AA58A6,2023/09/26,03:30:40.318,434,209
MSG4,AD0799,2023/09/26,03:30:40.463,463,158
MSG4,AA58A6,2023/09/26,03:30:40.853,434,209
MSG4,AA58A6,2023/09/26,03:30:41.280,434,209
MSG4,AD0799,2023/09/26,03:30:41.493,463,158
MSG4,AA58A6,2023/09/26,03:30:42.228,434,209
MSG4,AD0799,2023/09/26,03:30:42.444,463,158
MSG4,AA58A6,2023/09/26,03:30:43.221,434,209
MSG4,AD0799,2023/09/26,03:30:43.454,463,158
MSG4,AD0799,2023/09/26,03:30:44.495,463,158
MSG4,AA58A6,2023/09/26,03:30:45.258,434,209
MSG4,AD0799,2023/09/26,03:30:45.405,463,158
MSG4,AD0799,2023/09/26,03:30:46.325,463,158
MSG4,AD0799,2023/09/26,03:30:47.395,463,158
MSG4,AD0799,2023/09/26,03:30:48.426,463,158
MSG4,AD0799,2023/09/26,03:30:49.327,463,158
MSG4,AD0799,2023/09/26,03:30:51.337,463,158
MSG4,AA58A6,2023/09/26,03:30:51.604,434,209
MSG4,AD0799,2023/09/26,03:30:52.388,463,158
MSG4,AA58A6,2023/09/26,03:30:52.406,434,209
MSG4,AA58A6,2023/09/26,03:30:53.332,434,209
MSG4,AD0799,2023/09/26,03:30:53.388,463,158
MSG4,AD0799,2023/09/26,03:30:54.408,463,158
MSG4,AA58A6,2023/09/26,03:30:54.434,434,209
MSG4,AD0799,2023/09/26,03:30:55.480,463,158
MSG4,AD0799,2023/09/26,03:30:56.480,463,158
MSG4,AD0799,2023/09/26,03:30:57.460,463,158
MSG4,AA58A6,2023/09/26,03:30:58.277,434,209
MSG4,AD0799,2023/09/26,03:30:58.411,463,158
MSG4,AA58A6,2023/09/26,03:30:59.260,434,209
MSG4,AD0799,2023/09/26,03:30:59.401,463,158
MSG4,AA58A6,2023/09/26,03:31:00.295,434,209
MSG4,AD0799,2023/09/26,03:31:00.382,463,158
MSG4,AA58A6,2023/09/26,03:31:01.305,434,209
MSG4,AD0799,2023/09/26,03:31:01.322,463,158
MSG4,AA58A6,2023/09/26,03:31:02.247,434,209
MSG4,AD0799,2023/09/26,03:31:02.432,463,158
MSG4,AA58A6,2023/09/26,03:31:03.289,434,209
MSG4,AD0799,2023/09/26,03:31:03.473,463,158
MSG4,AA58A6,2023/09/26,03:31:04.245,434,209
MSG4,AD0799,2023/09/26,03:31:04.502,463,158
MSG4,AD0799,2023/09/26,03:31:05.403,463,158
MSG4,AD0799,2023/09/26,03:31:06.433,463,158
MSG4,AA58A6,2023/09/26,03:31:07.121,434,209
MSG4,AD0799,2023/09/26,03:31:07.424,463,158
MSG4,AD0799,2023/09/26,03:31:08.355,463,158
MSG4,AD0799,2023/09/26,03:31:09.355,463,158
MSG4,AD0799,2023/09/26,03:31:10.365,462,158
MSG4,AD0799,2023/09/26,03:31:11.356,462,158
MSG4,AD0799,2023/09/26,03:31:12.386,462,158
MSG4,AD0799,2023/09/26,03:31:13.496,461,158
MSG4,AD0799,2023/09/26,03:31:14.567,461,158
MSG4,AD0799,2023/09/26,03:31:15.647,461,158
MSG4,AD0799,2023/09/26,03:31:16.759,461,158
MSG4,AD0799,2023/09/26,03:31:17.688,461,158
MSG4,AD0799,2023/09/26,03:31:18.699,461,158
MSG4,AD0799,2023/09/26,03:31:19.729,461,158
MSG4,AD0799,2023/09/26,03:31:21.830,461,158
MSG4,AD0799,2023/09/26,03:31:22.860,461,158
MSG4,AD0799,2023/09/26,03:31:24.001,461,158
MSG4,AD0799,2023/09/26,03:31:25.071,461,158
MSG4,AD0799,2023/09/26,03:31:26.102,461,158
MSG4,AD0799,2023/09/26,03:31:27.163,461,158
MSG4,AD0799,2023/09/26,03:31:28.143,461,158
MSG4,AD0799,2023/09/26,03:31:29.244,461,158
MSG4,AD0799,2023/09/26,03:31:30.303,461,158
MSG4,AD0799,2023/09/26,03:31:31.344,461,158
MSG4,AD0799,2023/09/26,03:31:32.325,461,158
MSG4,AD0799,2023/09/26,03:31:33.315,461,158
MSG4,AD0799,2023/09/26,03:31:34.355,461,158
MSG4,AD0799,2023/09/26,03:31:35.386,461,158
MSG4,AD0799,2023/09/26,03:31:36.336,461,158
MSG4,AD0799,2023/09/26,03:31:37.326,461,158
MSG4,AD0799,2023/09/26,03:31:38.207,461,158
MSG4,AD0799,2023/09/26,03:31:39.208,461,158
MSG4,AD0799,2023/09/26,03:31:40.138,461,158
MSG4,AD0799,2023/09/26,03:31:41.058,461,158
MSG4,AD0799,2023/09/26,03:31:43.029,461,158
MSG4,AD0799,2023/09/26,03:31:43.969,461,158
MSG4,AD0799,2023/09/26,03:31:45.050,461,158
MSG4,AD0799,2023/09/26,03:31:46.150,461,158
MSG4,AD0799,2023/09/26,03:31:47.221,461,158
MSG4,AD0799,2023/09/26,03:31:48.151,461,158
MSG4,AD0799,2023/09/26,03:31:49.092,461,158
MSG4,AD0799,2023/09/26,03:31:50.182,461,158
MSG4,AD0799,2023/09/26,03:31:51.123,461,158
MSG4,AD0799,2023/09/26,03:31:52.002,461,158
MSG4,AD0799,2023/09/26,03:31:52.943,461,158
MSG4,AD0799,2023/09/26,03:31:53.963,461,158
MSG4,AD0799,2023/09/26,03:31:54.944,461,158
MSG4,AD0799,2023/09/26,03:31:55.904,461,158
MSG4,AA58A6,2023/09/26,03:31:56.273,432,209
MSG4,AD0799,2023/09/26,03:31:57.045,461,158
MSG4,AD0799,2023/09/26,03:31:58.085,461,158
MSG4,AD0799,2023/09/26,03:31:59.145,461,158
MSG4,AD0799,2023/09/26,03:32:01.067,461,158
MSG4,AD0799,2023/09/26,03:32:04.907,461,158
MSG4,AD0799,2023/09/26,03:32:05.959,461,158
MSG4,AD0799,2023/09/26,03:32:06.969,461,158
MSG4,AD0799,2023/09/26,03:32:08.009,461,158
MSG4,A553DB,2023/09/26,03:32:11.193,497,112
MSG4,AD0799,2023/09/26,03:32:11.231,461,158
MSG4,AD0799,2023/09/26,03:32:12.141,461,158
MSG4,A553DB,2023/09/26,03:32:13.073,497,112
MSG4,AD0799,2023/09/26,03:32:13.132,461,158
MSG4,AD0799,2023/09/26,03:32:14.233,461,158
MSG4,AD0799,2023/09/26,03:32:15.142,461,158
MSG4,AD0799,2023/09/26,03:32:16.162,461,158
MSG4,AD0799,2023/09/26,03:32:17.273,461,158
MSG4,AD0799,2023/09/26,03:32:19.324,461,158
MSG4,AD0799,2023/09/26,03:32:20.415,461,158
MSG4,AD0799,2023/09/26,03:32:21.355,461,158
MSG4,AD0799,2023/09/26,03:32:22.236,461,158
MSG4,AD0799,2023/09/26,03:32:23.217,461,158
MSG4,A553DB,2023/09/26,03:32:23.254,497,112
MSG4,A553DB,2023/09/26,03:32:24.104,497,112
MSG4,AD0799,2023/09/26,03:32:24.166,461,158
MSG4,A553DB,2023/09/26,03:32:24.974,497,112
MSG4,AD0799,2023/09/26,03:32:25.106,461,158
MSG4,AD0799,2023/09/26,03:32:26.047,461,158
MSG4,AD0799,2023/09/26,03:32:27.127,461,158
MSG4,AD0799,2023/09/26,03:32:28.147,461,158
MSG4,AD0799,2023/09/26,03:32:29.168,461,158
MSG4,AD0799,2023/09/26,03:32:30.148,461,158
MSG4,AD0799,2023/09/26,03:32:31.239,461,158
MSG4,AD0799,2023/09/26,03:32:34.271,461,158
MSG4,AD0799,2023/09/26,03:32:35.330,461,158
MSG4,AD0799,2023/09/26,03:32:36.221,461,158
MSG4,AD0799,2023/09/26,03:32:37.072,461,158
MSG4,AD0799,2023/09/26,03:32:37.942,461,158
MSG4,AD0799,2023/09/26,03:32:40.683,461,158
MSG4,AD0799,2023/09/26,03:32:46.996,461,158
MSG4,A553DB,2023/09/26,03:32:47.877,499,112
MSG4,AD0799,2023/09/26,03:32:48.026,461,158
MSG4,A553DB,2023/09/26,03:32:48.877,498,111
MSG4,AD0799,2023/09/26,03:32:48.926,461,158
MSG4,A553DB,2023/09/26,03:32:49.896,498,111
MSG4,AD0799,2023/09/26,03:32:49.957,461,158
MSG4,AD0799,2023/09/26,03:32:50.907,461,158
MSG4,AD0799,2023/09/26,03:32:51.928,461,158
MSG4,A553DB,2023/09/26,03:32:51.967,498,111
MSG4,A553DB,2023/09/26,03:32:52.947,498,111
MSG4,AD0799,2023/09/26,03:32:52.968,461,158
MSG4,AD0799,2023/09/26,03:32:53.879,461,158
MSG4,A553DB,2023/09/26,03:32:53.897,498,111
MSG4,AD0799,2023/09/26,03:32:54.798,461,158
MSG4,A553DB,2023/09/26,03:32:54.888,498,111
MSG4,A553DB,2023/09/26,03:32:55.867,497,111
MSG4,AD0799,2023/09/26,03:32:55.869,461,158
MSG4,A553DB,2023/09/26,03:32:56.807,497,111
MSG4,AD0799,2023/09/26,03:32:57.800,461,158
MSG4,A553DB,2023/09/26,03:32:57.927,497,111
MSG4,AD0799,2023/09/26,03:32:58.850,461,158
MSG4,A553DB,2023/09/26,03:32:58.968,497,111
MSG4,AD0799,2023/09/26,03:32:59.810,461,158
MSG4,AD0799,2023/09/26,03:33:00.861,461,158
MSG4,AD0799,2023/09/26,03:33:01.861,461,158
MSG4,AD0799,2023/09/26,03:33:02.882,461,158
